# time, D, Im, Io, Iy, Rm, Ro, Ry, Sm, So, Sy
0, 0, 10, 0, 10, 0, 0, 0, 490, 500, 990
20.202, 0.161, 9.79, 2.774, 12.836, 0.699, 0.071, 1.155, 489.402, 497.126, 985.986
40.404, 0.38, 9.689, 5.341, 15.489, 1.387, 0.277, 2.587, 488.706, 494.271, 981.872
60.606, 0.654, 9.686, 7.74, 18.003, 2.071, 0.608, 4.279, 487.917, 491.409, 977.632
80.808, 0.98, 9.771, 10.006, 20.412, 2.759, 1.056, 6.22, 487.037, 488.516, 973.243
101.01, 1.358, 9.936, 12.166, 22.748, 3.455, 1.617, 8.4, 486.066, 485.571, 968.684
121.212, 1.784, 10.175, 14.247, 25.035, 4.166, 2.284, 10.814, 485.005, 482.556, 963.934
141.414, 2.26, 10.48, 16.27, 27.299, 4.895, 3.055, 13.458, 483.855, 479.453, 958.975
161.616, 2.785, 10.849, 18.254, 29.557, 5.649, 3.927, 16.329, 482.614, 476.249, 953.788
181.818, 3.358, 11.276, 20.215, 31.825, 6.431, 4.898, 19.429, 481.282, 472.927, 948.358
202.02, 3.981, 11.76, 22.167, 34.117, 7.245, 5.968, 22.759, 479.857, 469.478, 942.669
222.222, 4.653, 12.295, 24.121, 36.446, 8.095, 7.137, 26.323, 478.337, 465.887, 936.705
242.424, 5.376, 12.882, 26.088, 38.821, 8.985, 8.405, 30.123, 476.721, 462.145, 930.453
262.626, 6.151, 13.517, 28.076, 41.25, 9.918, 9.773, 34.166, 475.007, 458.242, 923.9
282.828, 6.978, 14.199, 30.092, 43.738, 10.898, 11.241, 38.458, 473.191, 454.17, 917.035
303.03, 7.859, 14.926, 32.141, 46.289, 11.927, 12.813, 43.005, 471.273, 449.921, 909.846
323.232, 8.796, 15.698, 34.228, 48.907, 13.009, 14.489, 47.812, 469.249, 445.488, 902.324
343.434, 9.789, 16.512, 36.356, 51.595, 14.148, 16.271, 52.888, 467.117, 440.864, 894.46
363.636, 10.841, 17.367, 38.527, 54.352, 15.345, 18.162, 58.238, 464.876, 436.046, 886.246
383.838, 11.952, 18.263, 40.743, 57.177, 16.605, 20.163, 63.869, 462.523, 431.029, 877.677
404.04, 13.124, 19.197, 43.002, 60.067, 17.929, 22.278, 69.79, 460.057, 425.81, 868.748
424.242, 14.359, 20.168, 45.302, 63.017, 19.321, 24.507, 76.006, 457.475, 420.387, 859.457
444.444, 15.658, 21.175, 47.643, 66.023, 20.782, 26.855, 82.523, 454.777, 414.761, 849.803
