# time, D, I, R, S
0, 0, 5, 0, 10.000
20.202, 1.974.631, 8.825, 7.898.522, 123.022
40.404, 1.976.51, 0.001, 7.906.042, 122.447
60.606, 1.976.511, -0, 7.906.042, 122.447
80.808, 1.976.511, 0, 7.906.042, 122.447
101.01, 1.976.511, 0, 7.906.042, 122.447
121.212, 1.976.511, 0, 7.906.042, 122.447
141.414, 1.976.511, -0, 7.906.042, 122.447
161.616, 1.976.511, -0, 7.906.042, 122.447
181.818, 1.976.511, -0, 7.906.042, 122.447
202.02, 1.976.511, -0, 7.906.042, 122.447
222.222, 1.976.511, 0, 7.906.042, 122.447
242.424, 1.976.511, 0, 7.906.042, 122.447
262.626, 1.976.511, 0, 7.906.042, 122.447
282.828, 1.976.511, 0, 7.906.042, 122.447
303.03, 1.976.511, -0, 7.906.042, 122.447
323.232, 1.976.511, -0, 7.906.042, 122.447
343.434, 1.976.511, -0, 7.906.042, 122.447
363.636, 1.976.511, 0, 7.906.042, 122.447
383.838, 1.976.511, 0, 7.906.042, 122.447
404.04, 1.976.511, 0, 7.906.042, 122.447
424.242, 1.976.511, 0, 7.906.042, 122.447
444.444, 1.976.511, -0, 7.906.042, 122.447
464.646, 1.976.511, -0, 7.906.042, 122.447
484.848, 1.976.511, -0, 7.906.042, 122.447
505.051, 1.976.511, -0, 7.906.042, 122.447
525.253, 1.976.511, 0, 7.906.042, 122.447
545.455, 1.976.511, 0, 7.906.042, 122.447
565.657, 1.976.511, 0, 7.906.042, 122.447
585.859, 1.976.511, 0, 7.906.042, 122.447
606.061, 1.976.511, -0, 7.906.042, 122.447
626.263, 1.976.511, -0, 7.906.042, 122.447
646.465, 1.976.511, -0, 7.906.042, 122.447
666.667, 1.976.511, 0, 7.906.042, 122.447
686.869, 1.976.511, 0, 7.906.042, 122.447
707.071, 1.976.511, 0, 7.906.042, 122.447
727.273, 1.976.511, 0, 7.906.042, 122.447
747.475, 1.976.511, 0, 7.906.042, 122.447
767.677, 1.976.511, -0, 7.906.042, 122.447
787.879, 1.976.511, -0, 7.906.042, 122.447
808.081, 1.976.511, 0, 7.906.042, 122.447
828.283, 1.976.511, 0, 7.906.042, 122.447
848.485, 1.976.511, 0, 7.906.042, 122.447
868.687, 1.976.511, 0, 7.906.042, 122.447
888.889, 1.976.511, 0, 7.906.042, 122.447
909.091, 1.976.511, -0, 7.906.042, 122.447
929.293, 1.976.511, -0, 7.906.042, 122.447
949.495, 1.976.511, 0, 7.906.042, 122.447
969.697, 1.976.511, -0, 7.906.042, 122.447
989.899, 1.976.511, 0, 7.906.042, 122.447
1.010.101, 1.976.511, 0, 7.906.042, 122.447
1.030.303, 1.976.511, 0, 7.906.042, 122.447
1.050.505, 1.976.511, -0, 7.906.042, 122.447
1.070.707, 1.976.511, -0, 7.906.042, 122.447
1.090.909, 1.976.511, -0, 7.906.042, 122.447
1.111.111, 1.976.511, 0, 7.906.042, 122.447
1.131.313, 1.976.511, 0, 7.906.042, 122.447
1.151.515, 1.976.511, 0, 7.906.042, 122.447
1.171.717, 1.976.511, 0, 7.906.042, 122.447
1.191.919, 1.976.511, -0, 7.906.042, 122.447
1.212.121, 1.976.511, -0, 7.906.042, 122.447
1.232.323, 1.976.511, -0, 7.906.042, 122.447
1.252.525, 1.976.511, -0, 7.906.042, 122.447
1.272.727, 1.976.511, 0, 7.906.042, 122.447
1.292.929, 1.976.511, 0, 7.906.042, 122.447
1.313.131, 1.976.511, 0, 7.906.042, 122.447
1.333.333, 1.976.511, 0, 7.906.042, 122.447
1.353.535, 1.976.511, -0, 7.906.042, 122.447
1.373.737, 1.976.511, -0, 7.906.042, 122.447
1.393.939, 1.976.511, -0, 7.906.042, 122.447
1.414.141, 1.976.511, 0, 7.906.042, 122.447
1.434.343, 1.976.511, 0, 7.906.042, 122.447
1.454.545, 1.976.511, 0, 7.906.042, 122.447
1.474.747, 1.976.511, 0, 7.906.042, 122.447
1.494.949, 1.976.511, 0, 7.906.042, 122.447
1.515.152, 1.976.511, -0, 7.906.042, 122.447
1.535.354, 1.976.511, -0, 7.906.042, 122.447
1.555.556, 1.976.511, -0, 7.906.042, 122.447
1.575.758, 1.976.511, 0, 7.906.042, 122.447
1.595.96, 1.976.511, 0, 7.906.042, 122.447
1.616.162, 1.976.511, 0, 7.906.042, 122.447
1.636.364, 1.976.511, 0, 7.906.042, 122.447
1.656.566, 1.976.511, -0, 7.906.042, 122.447
1.676.768, 1.976.511, -0, 7.906.042, 122.447
1.696.97, 1.976.511, 0, 7.906.042, 122.447
1.717.172, 1.976.511, -0, 7.906.042, 122.447
1.737.374, 1.976.511, 0, 7.906.042, 122.447
1.757.576, 1.976.511, 0, 7.906.042, 122.447
1.777.778, 1.976.511, 0, 7.906.042, 122.447
1.797.98, 1.976.511, -0, 7.906.042, 122.447
1.818.182, 1.976.511, -0, 7.906.042, 122.447
1.838.384, 1.976.511, -0, 7.906.042, 122.447
1.858.586, 1.976.511, -0, 7.906.042, 122.447
1.878.788, 1.976.511, 0, 7.906.042, 122.447
1.898.99, 1.976.511, 0, 7.906.042, 122.447
1.919.192, 1.976.511, 0, 7.906.042, 122.447
1.939.394, 1.976.511, 0, 7.906.042, 122.447
1.959.596, 1.976.511, -0, 7.906.042, 122.447
1.979.798, 1.976.511, -0, 7.906.042, 122.447
2.000, 1.976.511, 0, 7.906.042, 122.447

