Row,Date,Rt_medio
1,2020-02-04,1
2,2020-02-05,2
3,2020-02-06,1
4,2020-02-07,2
5,2020-02-08,2
6,2020-02-09,2
7,2020-02-10,2
8,2020-02-11,2
9,2020-02-12,2
10,2020-02-13,2
11,2020-02-14,0.10
12,2020-02-15,0.11
13,2020-02-16,0.12
14,2020-02-17,0.13
15,2020-02-18,0.14
16,2020-02-19,0.15
17,2020-02-20,0.16
18,2020-02-21,0.17
19,2020-02-22,0.18
20,2020-02-23,0.19
21,2020-02-24,0.20
22,2020-02-25,0.21
23,2020-02-26,0.22
24,2020-02-27,0.23
25,2020-02-28,0.24
26,2020-02-29,0.25
27,2020-03-01,0.26
28,2020-03-02,0.27
29,2020-03-03,0.28
30,2020-03-04,0.29
31,2020-03-05,0.30
32,2020-03-06,0.31
33,2020-03-07,0.32
34,2020-03-08,0.33
35,2020-03-09,0.34
36,2020-03-10,0.35
37,2020-03-11,0.36
38,2020-03-12,0.37
39,2020-03-13,0.38
40,2020-03-14,0.39
41,2020-03-15,0.40
42,2020-03-16,0.41
43,2020-03-17,0.42
44,2020-03-18,0.43
45,2020-03-19,0.44
46,2020-03-20,0.45
47,2020-03-21,0.46
48,2020-03-22,0.47
49,2020-03-23,0.48
50,2020-03-24,0.49
51,2020-03-25,0.50
52,2020-03-26,0.51
53,2020-03-27,0.52
54,2020-03-28,0.53
55,2020-03-29,0.54
56,2020-03-30,0.55
57,2020-03-31,0.56
58,2020-04-01,0.57
59,2020-04-02,0.58
60,2020-04-03,0.59
61,2020-04-04,0.60
62,2020-04-05,0.61
63,2020-04-06,0.62
64,2020-04-07,0.63
65,2020-04-08,0.64
66,2020-04-09,0.65
67,2020-04-10,0.66
68,2020-04-11,0.67
69,2020-04-12,0.68
70,2020-04-13,0.69
71,2020-04-14,0.70
72,2020-04-15,0.71
73,2020-04-16,0.72
74,2020-04-17,0.73
75,2020-04-18,0.74
76,2020-04-19,0.75
77,2020-04-20,0.76
78,2020-04-21,0.77
79,2020-04-22,0.78
80,2020-04-23,0.79
81,2020-04-24,0.80
82,2020-04-25,0.81
83,2020-04-26,0.82
84,2020-04-27,0.83
85,2020-04-28,0.84
86,2020-04-29,0.85
87,2020-04-30,0.86
88,2020-05-01,0.87
89,2020-05-02,0.88
90,2020-05-03,0.89
91,2020-05-04,0.90
92,2020-05-05,0.91
93,2020-05-06,0.92
94,2020-05-07,0.93
95,2020-05-08,0.94
96,2020-05-09,0.95
97,2020-05-10,0.96
98,2020-05-11,0.97
99,2020-05-12,0.98
100,2020-05-13,0.99
101,2020-05-14,1.0
102,2020-05-15,1.1
103,2020-05-16,1.2
104,2020-05-17,1.3
105,2020-05-18,1.4
106,2020-05-19,1.5
107,2020-05-20,1.6
108,2020-05-21,1.7
109,2020-05-22,1.8
110,2020-05-23,1.9
111,2020-05-24,1.10
112,2020-05-25,1.11
113,2020-05-26,1.12
114,2020-05-27,1.13
115,2020-05-28,1.14
116,2020-05-29,1.15
117,2020-05-30,1.16
118,2020-05-31,1.17
119,2020-06-01,1.18
120,2020-06-02,1.19
121,2020-06-03,1.20
122,2020-06-04,1.21
123,2020-06-05,1.22
124,2020-06-06,1.23
125,2020-06-07,1.24
126,2020-06-08,1.25
127,2020-06-09,1.26
128,2020-06-10,1.27
129,2020-06-11,1.28
130,2020-06-12,1.29
131,2020-06-13,1.30
132,2020-06-14,1.31
133,2020-06-15,1.32
134,2020-06-16,1.33
135,2020-06-17,1.34
136,2020-06-18,1.35
137,2020-06-19,1.36
138,2020-06-20,1.37
139,2020-06-21,1.38
140,2020-06-22,1.39
141,2020-06-23,1.40
142,2020-06-24,1.41
143,2020-06-25,1.42
144,2020-06-26,1.43
145,2020-06-27,1.44
146,2020-06-28,1.45
147,2020-06-29,1.46
148,2020-06-30,1.47
149,2020-07-01,1.48
150,2020-07-02,1.49
151,2020-07-03,1.50
152,2020-07-04,1.51
153,2020-07-05,1.52
154,2020-07-06,1.53
155,2020-07-07,1.54
156,2020-07-08,1.55
157,2020-07-09,1.56
158,2020-07-10,1.57
159,2020-07-11,1.58
160,2020-07-12,1.59
161,2020-07-13,1.60
162,2020-07-14,1.61
163,2020-07-15,1.62
164,2020-07-16,1.63
165,2020-07-17,1.64
166,2020-07-18,1.65
167,2020-07-19,1.66
168,2020-07-20,1.67
169,2020-07-21,1.68
170,2020-07-22,1.69
171,2020-07-23,1.70
172,2020-07-24,1.71
173,2020-07-25,1.72
174,2020-07-26,1.73
175,2020-07-27,1.74
176,2020-07-28,1.75
177,2020-07-29,1.76
178,2020-07-30,1.77
179,2020-07-31,1.78
180,2020-08-01,1.79
181,2020-08-02,1.80
182,2020-08-03,1.81
183,2020-08-04,1.82
184,2020-08-05,1.83
185,2020-08-06,1.84
186,2020-08-07,1.85
187,2020-08-08,1.86
188,2020-08-09,1.87
189,2020-08-10,1.88
190,2020-08-11,1.89
191,2020-08-12,1.90
192,2020-08-13,1.91
193,2020-08-14,1.92
194,2020-08-15,1.93
195,2020-08-16,1.94
196,2020-08-17,1.95
197,2020-08-18,1.96
198,2020-08-19,1.97
199,2020-08-20,1.98
200,2020-08-21,1.99
201,2020-08-22,2.0
202,2020-08-23,2.1
203,2020-08-24,2.2
204,2020-08-25,2.3
205,2020-08-26,2.4
206,2020-08-27,2.5
207,2020-08-28,2.6
208,2020-08-29,2.7
209,2020-08-30,2.8
210,2020-08-31,2.9
211,2020-09-01,2.10
212,2020-09-02,2.11
213,2020-09-03,2.12
214,2020-09-04,2.13
215,2020-09-05,2.14
216,2020-09-06,2.15
217,2020-09-07,2.16
218,2020-09-08,2.17
219,2020-09-09,2.18
220,2020-09-10,2.19
221,2020-09-11,2.20
222,2020-09-12,2.21
223,2020-09-13,2.22
224,2020-09-14,2.23
225,2020-09-15,2.24
226,2020-09-16,2.25
227,2020-09-17,2.26
228,2020-09-18,2.27
229,2020-09-19,2.28
230,2020-09-20,2.29
231,2020-09-21,2.30
232,2020-09-22,2.31
233,2020-09-23,2.32
234,2020-09-24,2.33
235,2020-09-25,2.34
236,2020-09-26,2.35
237,2020-09-27,2.36
238,2020-09-28,2.37
239,2020-09-29,2.38
240,2020-09-30,2.39
241,2020-10-01,2.40
242,2020-10-02,2.41
243,2020-10-03,2.42
244,2020-10-04,2.43
245,2020-10-05,2.44
246,2020-10-06,2.45
247,2020-10-07,2.46
248,2020-10-08,2.47
249,2020-10-09,2.48
250,2020-10-10,2.49
251,2020-10-11,2.50
252,2020-10-12,2.51
253,2020-10-13,2.52
254,2020-10-14,2.53
255,2020-10-15,2.54
256,2020-10-16,2.55
257,2020-10-17,2.56
258,2020-10-18,2.57
259,2020-10-19,2.58
260,2020-10-20,2.59
261,2020-10-21,2.60
262,2020-10-22,2.61
263,2020-10-23,2.62
264,2020-10-24,2.63
265,2020-10-25,2.64
266,2020-10-26,2.65
267,2020-10-27,2.66
268,2020-10-28,2.67
269,2020-10-29,2.68
270,2020-10-30,2.69
271,2020-10-31,2.70
272,2020-11-01,2.71
273,2020-11-02,2.72
274,2020-11-03,2.73
275,2020-11-04,2.74
276,2020-11-05,2.75
277,2020-11-06,2.76
278,2020-11-07,2.77
279,2020-11-08,2.78
280,2020-11-09,2.79
281,2020-11-10,2.80
282,2020-11-11,2.81
283,2020-11-12,2.82
284,2020-11-13,2.83
285,2020-11-14,2.84
286,2020-11-15,2.85
287,2020-11-16,2.86
288,2020-11-17,2.87
289,2020-11-18,2.88
290,2020-11-19,2.89
291,2020-11-20,2.90
292,2020-11-21,2.91
293,2020-11-22,2.92
294,2020-11-23,2.93
295,2020-11-24,2.94
296,2020-11-25,2.95
297,2020-11-26,2.96
298,2020-11-27,2.97
299,2020-11-28,2.98
300,2020-11-29,2.99
301,2020-11-30,3.0
302,2020-12-01,3.1
303,2020-12-02,3.2
304,2020-12-03,3.3
305,2020-12-04,3.4
306,2020-12-05,3.5
307,2020-12-06,3.6
308,2020-12-07,3.7
309,2020-12-08,3.8
310,2020-12-09,3.9
311,2020-12-10,3.10
312,2020-12-11,3.11
313,2020-12-12,3.12
314,2020-12-13,3.13
315,2020-12-14,3.14
316,2020-12-15,3.15
317,2020-12-16,3.16
318,2020-12-17,3.17
319,2020-12-18,3.18
320,2020-12-19,3.19
321,2020-12-20,3.20
322,2020-12-21,3.21
323,2020-12-22,3.22
324,2020-12-23,3.23
325,2020-12-24,3.24
326,2020-12-25,3.25
327,2020-12-26,3.26
328,2020-12-27,3.27
329,2020-12-28,3.28
330,2020-12-29,3.29
331,2020-12-30,3.30
332,2020-12-31,3.31
333,2021-01-01,3.32
334,2021-01-02,3.33
335,2021-01-03,3.34
336,2021-01-04,3.35
337,2021-01-05,3.36
338,2021-01-06,3.37
339,2021-01-07,3.38
340,2021-01-08,3.39
341,2021-01-09,3.40
342,2021-01-10,3.41
343,2021-01-11,3.42
344,2021-01-12,3.43
345,2021-01-13,3.44
346,2021-01-14,3.45
347,2021-01-15,3.46
348,2021-01-16,3.47
349,2021-01-17,3.48
350,2021-01-18,3.49
351,2021-01-19,3.50
352,2021-01-20,3.51
353,2021-01-21,3.52
354,2021-01-22,3.53
355,2021-01-23,3.54
356,2021-01-24,3.55
357,2021-01-25,3.56
358,2021-01-26,3.57
359,2021-01-27,3.58
360,2021-01-28,3.59
361,2021-01-29,3.60
362,2021-01-30,3.61
363,2021-01-31,3.62
364,2021-02-01,3.63
365,2021-02-02,3.64
366,2021-02-03,3.65
367,2021-02-04,3.66
368,2021-02-05,3.67
369,2021-02-06,3.68
370,2021-02-07,3.69
371,2021-02-08,3.70
372,2021-02-09,3.71
373,2021-02-10,3.72
374,2021-02-11,3.73
375,2021-02-12,3.74
376,2021-02-13,3.75
377,2021-02-14,3.76
378,2021-02-15,3.77
379,2021-02-16,3.78
380,2021-02-17,3.79
381,2021-02-18,3.80
382,2021-02-19,3.81
383,2021-02-20,3.82
384,2021-02-21,3.83
385,2021-02-22,3.84
386,2021-02-23,3.85
387,2021-02-24,3.86
388,2021-02-25,3.87
389,2021-02-26,3.88
390,2021-02-27,3.89
391,2021-02-28,3.90
392,2021-03-01,3.91
393,2021-03-02,3.92
394,2021-03-03,3.93
395,2021-03-04,3.94
396,2021-03-05,3.95
397,2021-03-06,3.96
398,2021-03-07,3.97
399,2021-03-08,3.98
400,2021-03-09,3.99
401,2021-03-10,4.0
402,2021-03-11,4.1
403,2021-03-12,4.2
404,2021-03-13,4.3
405,2021-03-14,4.4
406,2021-03-15,4.5
407,2021-03-16,4.6
408,2021-03-17,4.7
409,2021-03-18,4.8
410,2021-03-19,4.9
411,2021-03-20,4.10
412,2021-03-21,4.11
413,2021-03-22,4.12
414,2021-03-23,4.13
415,2021-03-24,4.14
416,2021-03-25,4.15
417,2021-03-26,4.16
418,2021-03-27,4.17
419,2021-03-28,4.18
420,2021-03-29,4.19
421,2021-03-30,4.20
422,2021-03-31,4.21
423,2021-04-01,4.22
424,2021-04-02,4.23
425,2021-04-03,4.24
426,2021-04-04,4.25
427,2021-04-05,4.26
428,2021-04-06,4.27
429,2021-04-07,4.28
430,2021-04-08,4.29
431,2021-04-09,4.30
432,2021-04-10,4.31
433,2021-04-11,4.32
434,2021-04-12,4.33
435,2021-04-13,4.34
436,2021-04-14,4.35
437,2021-04-15,4.36
438,2021-04-16,4.37
439,2021-04-17,4.38
440,2021-04-18,4.39
441,2021-04-19,4.40
442,2021-04-20,4.41
443,2021-04-21,4.42
444,2021-04-22,4.43
445,2021-04-23,4.44
446,2021-04-24,4.45
447,2021-04-25,4.46
448,2021-04-26,4.47
449,2021-04-27,4.48
450,2021-04-28,4.49
451,2021-04-29,4.50
452,2021-04-30,4.51
453,2021-05-01,4.52
454,2021-05-02,4.53
455,2021-05-03,4.54
456,2021-05-04,4.55
457,2021-05-05,4.56
458,2021-05-06,4.57
459,2021-05-07,4.58
460,2021-05-08,4.59
461,2021-05-09,4.60
462,2021-05-10,4.61
463,2021-05-11,4.62
464,2021-05-12,4.63
465,2021-05-13,4.64
466,2021-05-14,4.65
467,2021-05-15,4.66
468,2021-05-16,4.67
469,2021-05-17,4.68
470,2021-05-18,4.69
471,2021-05-19,4.70
472,2021-05-20,4.71
473,2021-05-21,4.72
474,2021-05-22,4.73
475,2021-05-23,4.74
476,2021-05-24,4.75
477,2021-05-25,4.76
478,2021-05-26,4.77
479,2021-05-27,4.78
480,2021-05-28,4.79
481,2021-05-29,4.80
482,2021-05-30,4.81
483,2021-05-31,4.82
484,2021-06-01,4.83
485,2021-06-02,4.84
486,2021-06-03,4.85
487,2021-06-04,4.86
488,2021-06-05,4.87
489,2021-06-06,4.88
490,2021-06-07,4.89
491,2021-06-08,4.90
492,2021-06-09,4.91
493,2021-06-10,4.92
494,2021-06-11,4.93
495,2021-06-12,4.94
496,2021-06-13,4.95
497,2021-06-14,4.96
498,2021-06-15,4.97
499,2021-06-16,4.98
500,2021-06-17,4.99
501,2021-06-18,5.0
502,2021-06-19,5.1
503,2021-06-20,5.2
504,2021-06-21,5.3
505,2021-06-22,5.4
506,2021-06-23,5.5
507,2021-06-24,5.6
508,2021-06-25,5.7
509,2021-06-26,5.8
510,2021-06-27,5.9
511,2021-06-28,5.10
512,2021-06-29,5.11
513,2021-06-30,5.12
514,2021-07-01,5.13
515,2021-07-02,5.14
516,2021-07-03,5.15
517,2021-07-04,5.16
518,2021-07-05,5.17
519,2021-07-06,5.18
520,2021-07-07,5.19
521,2021-07-08,5.20
522,2021-07-09,5.21
523,2021-07-10,5.22
524,2021-07-11,5.23
525,2021-07-12,5.24
526,2021-07-13,5.25
527,2021-07-14,5.26
528,2021-07-15,5.27
529,2021-07-16,5.28
530,2021-07-17,5.29
531,2021-07-18,5.30
532,2021-07-19,5.31
533,2021-07-20,5.32
534,2021-07-21,5.33
535,2021-07-22,5.34
536,2021-07-23,5.35
537,2021-07-24,5.36
538,2021-07-25,5.37
539,2021-07-26,5.38
540,2021-07-27,5.39
541,2021-07-28,5.40
542,2021-07-29,5.41
543,2021-07-30,5.42
544,2021-07-31,5.43
545,2021-08-01,5.44
546,2021-08-02,5.45
547,2021-08-03,5.46
548,2021-08-04,5.47
549,2021-08-05,5.48
550,2021-08-06,5.49
551,2021-08-07,5.50
552,2021-08-08,5.51
553,2021-08-09,5.52
554,2021-08-10,5.53
555,2021-08-11,5.54
556,2021-08-12,5.55
557,2021-08-13,5.56
558,2021-08-14,5.57
559,2021-08-15,5.58
560,2021-08-16,5.59
561,2021-08-17,5.60
562,2021-08-18,5.61
563,2021-08-19,5.62
564,2021-08-20,5.63
565,2021-08-21,5.64
566,2021-08-22,5.65
567,2021-08-23,5.66
568,2021-08-24,5.67
569,2021-08-25,5.68
570,2021-08-26,5.69
571,2021-08-27,5.70
572,2021-08-28,5.71
573,2021-08-29,5.72
574,2021-08-30,5.73
575,2021-08-31,5.74
576,2021-09-01,5.75
577,2021-09-02,5.76
578,2021-09-03,5.77
579,2021-09-04,5.78
580,2021-09-05,5.79
581,2021-09-06,5.80
582,2021-09-07,5.81
583,2021-09-08,5.82
584,2021-09-09,5.83
585,2021-09-10,5.84
586,2021-09-11,5.85
587,2021-09-12,5.86
588,2021-09-13,5.87
589,2021-09-14,5.88
590,2021-09-15,5.89
591,2021-09-16,5.90
592,2021-09-17,5.91
593,2021-09-18,5.92
594,2021-09-19,5.93
595,2021-09-20,5.94
596,2021-09-21,5.95
597,2021-09-22,5.96
598,2021-09-23,5.97
599,2021-09-24,5.98
600,2021-09-25,5.99
601,2021-09-26,6.0
602,2021-09-27,6.1
603,2021-09-28,6.2
604,2021-09-29,6.3
605,2021-09-30,6.4
606,2021-10-01,6.5
607,2021-10-02,6.6
608,2021-10-03,6.7
609,2021-10-04,6.8
610,2021-10-05,6.9
611,2021-10-06,6.10
612,2021-10-07,6.11
613,2021-10-08,6.12
614,2021-10-09,6.13
615,2021-10-10,6.14
616,2021-10-11,6.15
617,2021-10-12,6.16
618,2021-10-13,6.17
619,2021-10-14,6.18
620,2021-10-15,6.19
621,2021-10-16,6.20
622,2021-10-17,6.21
623,2021-10-18,6.22
624,2021-10-19,6.23
625,2021-10-20,6.24
626,2021-10-21,6.25
627,2021-10-22,6.26
628,2021-10-23,6.27
629,2021-10-24,6.28
630,2021-10-25,6.29
631,2021-10-26,6.30
632,2021-10-27,6.31
633,2021-10-28,6.32
634,2021-10-29,6.33
635,2021-10-30,6.34
636,2021-10-31,6.35
637,2021-11-01,6.36
638,2021-11-02,6.37
639,2021-11-03,6.38
640,2021-11-04,6.39
641,2021-11-05,6.40
642,2021-11-06,6.41
643,2021-11-07,6.42
644,2021-11-08,6.43
645,2021-11-09,6.44
646,2021-11-10,6.45
647,2021-11-11,6.46
648,2021-11-12,6.47
649,2021-11-13,6.48
650,2021-11-14,6.49
651,2021-11-15,6.50
652,2021-11-16,6.51
653,2021-11-17,6.52
654,2021-11-18,6.53
655,2021-11-19,6.54
656,2021-11-20,6.55
657,2021-11-21,6.56
658,2021-11-22,6.57
659,2021-11-23,6.58
660,2021-11-24,6.59
661,2021-11-25,6.60
662,2021-11-26,6.61
663,2021-11-27,6.62
664,2021-11-28,6.63
665,2021-11-29,6.64
666,2021-11-30,6.65
667,2021-12-01,6.66
668,2021-12-02,6.67
669,2021-12-03,6.68
670,2021-12-04,6.69
671,2021-12-05,6.70
672,2021-12-06,6.71
673,2021-12-07,6.72
674,2021-12-08,6.73
675,2021-12-09,6.74
676,2021-12-10,6.75
677,2021-12-11,6.76
678,2021-12-12,6.77
679,2021-12-13,6.78
680,2021-12-14,6.79
681,2021-12-15,6.80
682,2021-12-16,6.81
683,2021-12-17,6.82
684,2021-12-18,6.83
685,2021-12-19,6.84
686,2021-12-20,6.85
687,2021-12-21,6.86
688,2021-12-22,6.87
689,2021-12-23,6.88
690,2021-12-24,6.89
691,2021-12-25,6.90
692,2021-12-26,6.91
693,2021-12-27,6.92
694,2021-12-28,6.93
695,2021-12-29,6.94
696,2021-12-30,6.95
697,2021-12-31,6.96
698,2022-01-01,6.97
699,2022-01-02,6.98
700,2022-01-03,6.99
701,2022-01-04,6.100
702,2022-01-05,6.101
703,2022-01-06,6.102
704,2022-01-07,6.103
705,2022-01-08,6.104
706,2022-01-09,6.105
707,2022-01-10,6.106
708,2022-01-11,6.107
709,2022-01-12,6.108
