beta,n
35149999.2599213,0
35149998.829125285,0
35149998.20382743,0
35149997.325983435,0
35149995.985572964,0
35149994.0040488,0
35149991.05532466,0
35149986.72169031,0
35149980.3479808,0
35149970.89168133,0
35149956.998348914,0
35149936.46294642,0
35149906.10255515,0
35149861.418158285,0
35149795.386600204,0
35148649.5376806,0
33741341.98337099,0
34312241.70126317,0
34686935.03310541,0
35300838.833766185,0
33675974.54064275,0
30608832.72271693,0
30605893.96213149,0
28750456.819323804,0
32150661.180401936,0
31045027.064308736,0
29692747.348009612,0
27631774.824221652,0
26873802.74594605,0
25847907.7549001,0
25284529.421006087,0
23517505.152497828,0
23343995.287967484,0
24349955.470516328,0
23343181.209280275,0
22236651.50403188,0
21395604.328748085,0
20055653.205400392,0
19323397.943988957,0
18103602.863340054,0
15998106.62706917,0
15253895.229628053,0
14264847.113944441,0
14002926.009298835,0
13225926.750501743,0
12129449.840783434,0
11580198.938824128,0
11103574.772407135,0
10724844.407409787,0
10405585.125185264,0
9522803.11937205,0
9435023.611658743,0
9113125.78060466,0
9055337.86715537,0
8943171.159276908,0
9340200.977767793,0
9364121.590411492,0
9291959.855317662,0
9200327.329988228,0
9322452.586211301,0
8991027.022763519,0
9124767.003031738,0
8480589.385269532,0
8490187.795794088,0
8820129.829945419,0
8761679.817299334,0
8922628.064400582,0
8815087.652293075,0
8979608.648230953,0
9300106.745415328,0
9431727.010689037,0
9041302.429416485,0
9249931.254945291,0
9084005.927241426,0
9733920.498965755,0
9480999.381666249,0
9041301.746545956,0
8878248.086647542,0
8617462.65036548,0
8485445.502436064,0
8457512.172372287,0
7922707.435584195,0
7832347.288227489,0
7643153.793112893,0
7479732.539974342,0
7467204.292601777,0
7364693.427222592,0
7352101.300358874,0
6925912.481261713,0
6994241.02365327,0
6960354.399724745,0
6968895.46259514,0
7095958.4249287555,0
7082601.160883019,0
7406208.636774228,0
7516598.906382086,0
7545583.6407324895,0
7672409.496223861,0
7716906.530976513,0
7662863.13501094,0
7991473.894648333,0
7959008.622849738,0
8070620.64599066,0
7924598.52660123,0
8051251.652355632,0
8047508.219498397,0
7743697.856048154,0
7750417.510570145,0
7740135.386355869,0
7741512.943636857,0
7776689.414683394,0
7713707.247506845,0
7803504.387610034,0
7898240.557886424,0
8085000.853625578,0
8271748.99886365,0
8184318.877008681,0
7664185.252379925,0
7553139.145869523,0
7605068.171063746,0
8050882.2285906775,0
8224602.181913262,0
8673057.771403203,0
8787081.914945578,0
9772791.348508071,0
9819150.697837492,0
9976727.5915834,0
10018540.635146081,0
10079944.341048196,0
10365254.254446857,0
10262674.609550886,0
10257262.05331264,0
10069861.287202356,0
10106850.594706614,0
9754173.492391044,0
9821251.699879995,0
9783105.370550102,0
9502790.843284262,0
9244433.604337228,0
9635685.822682934,0
9627630.22298976,0
10092142.00779178,0
10203739.064304398,0
10185494.88464301,0
10470156.374346638,0
10473952.57523597,0
10981687.364057107,0
11192214.689604348,0
10608856.946389066,0
10696709.38420343,0
10800370.556448245,0
10912034.486088503,0
11515157.866030939,0
11137364.071090417,0
11084187.182160998,0
11833864.301386854,0
11929846.918255784,0
12113053.828922087,0
11884550.707301835,0
11860018.814906219,0
11543237.390871376,0
11467786.800081804,0
11205743.121626368,0
11227938.773703177,0
11332990.978674853,0
11657878.455436822,0
11577625.188525109,0
11755395.497102898,0
12051336.620429965,0
12052948.685420046,0
12362973.510150429,0
11900146.858890895,0
11700284.08960919,0
11613174.88824096,0
11495576.19699111,0
11174507.204454916,0
10687684.705672529,0
10761096.877019128,0
10900066.188537613,0
10950687.403769037,0
10776939.600993056,0
11062967.95118406,0
11157933.384054638,0
11363615.302013917,0
11363790.22147639,0
11406260.65125387,0
11339516.02273508,0
11433117.730638824,0
11214147.640167715,0
11322131.269917857,0
11518899.311087431,0
11780508.713127704,0
12444258.107844055,0
14090050.540880503,0
15739806.516608473,0
16658848.630763208,0
17047518.21239147,0
17447298.601442598,0
17274807.66133513,0
17042480.125403166,0
16200374.033889113,0
15124087.07647331,0
14346875.796884509,0
13641980.405829804,0
12950907.696166977,0
12090159.474459117,0
11222974.070304116,0
10740936.94447966,0
10973286.03421448,0
10992932.222765375,0
11033994.427157886,0
11238683.655363351,0
11568194.05980858,0
11818428.739256429,0
12490903.720777107,0
12208239.005419232,0
12216442.79365274,0
12555679.655919885,0
12402257.223028583,0
12477688.706395958,0
12518798.179210471,0
12522222.910103414,0
12908063.364564871,0
13084959.75100234,0
13098529.25510423,0
13331041.932483753,0
13516598.390893053,0
13733000.992921134,0
13577565.53266569,0
13343645.37682738,0
13164652.375382407,0
12874138.419386605,0
12914180.157802776,0
12866062.1422406,0
12974011.036285648,0
13535393.023413934,0
13906462.460029637,0
15033039.696907673,0
17078700.817427434,0
18289046.908204205,0
19411748.274184555,0
19958543.993794985,0
20935345.103118178,0
21267430.15539844,0
21412998.46205123,0
20969753.825577483,0
20853463.0026035,0
20896275.222344313,0
20280092.96545188,0
20503131.86566996,0
20474261.423464336,0
20268043.206663623,0
20220542.82517376,0
20230716.13882683,0
19824240.341118705,0
19706981.023500357,0
19679796.517256346,0
19946356.087029006,0
19644056.909446172,0
19119872.856293067,0
18667504.889379553,0
18144466.745913092,0
17715843.901664503,0
17446685.405940816,0
16730058.82738096,0
16427889.450677872,0
15983096.917878978,0
15575159.683875386,0
14944740.672874918,0
14802666.391519813,0
14568791.588538507,0
14237117.070050953,0
13913994.706678396,0
13722269.715007586,0
13538320.317264166,0
13474444.437376989,0
12947671.114521133,0
12639523.981157713,0
12589815.724870922,0
12260696.207602458,0
11988176.98764934,0
11758007.182179445,0
11597337.370855162,0
11490200.863516383,0
11214074.708348775,0
10772293.22742173,0
10647041.262346618,0
10323542.009183455,0
10142062.908689484,0
9818065.973669076,0
9509098.442880167,0
9293446.96637346,0
9215297.409762086,0
9121077.922933036,0
9220096.294636065,0
9142666.938880706,0
9377344.637935393,0
9464994.145894744,0
9630749.28366548,0
10105459.80461456,0
10306015.720464665,0
10495911.891431268,0
10676136.62313656,0
10748880.184314774,0
10917914.004412431,0
10887683.670170218,0
10533292.767733773,0
10614711.574192243,0
10832346.576256635,0
10810478.550333384,0
10962905.292506464,0
11155258.905781,0
11384289.646986445,0
11648130.957310323,0
11629839.213388342,0
11476867.736416807,0
11575500.809962282,0
11565801.901066063,0
11880172.445034578,0
11854150.846888758,0
11966320.722288582,0
12152400.001892665,0
12468347.212997671,0
12425278.283177607,0
12669729.149808832,0
12881083.932562012,0
13338294.597843276,0
13376214.004898172,0
13331824.376085578,0
13137269.239495033,0
13278210.00476736,0
13176099.227423482,0
12875188.471389497,0
12595904.37145948,0
12458157.978137998,0
12049621.429942416,0
11826198.58988893,0
11465487.69448451,0
11065296.322239175,0
10743072.35122482,0
10222004.526103903,0
9821719.993202213,0
9702609.24429409,0
9532692.732288007,0
9500432.126910262,0
9537761.023662006,0
9540341.465761418,2990
9686188.992526118,5097
9896992.64849813,1792
10302659.28377327,4606
10523529.760482205,19965
10764492.309689384,14165
11089021.821800485,33340
11357603.65750626,30782
11533220.212179476,64752
11586792.335168634,76529
11493974.278398484,64860
11579707.786779106,89314
11502120.922485825,94053
11405314.109985612,86589
11341291.342514426,57348
11646809.539741144,81895
11832403.735020313,82137
11992933.69546915,91179
12080681.737534812,95388
12261146.612525301,90218
12449419.429249614,63658
12573532.753377752,32868
12336738.52956322,40288
12240718.612643747,32702
12325431.393247796,28192
12225363.33403425,19910
12128124.750293821,15518
11956611.707297651,6778
11958454.908588335,2605
12123952.99374478,6055
12366074.849006793,6211
